1|Philip|Cervantes|P.O. Box 521, 7327 Vel Street|Manhattan Beach|MB|X2Z 3N5|Gambia
2|Georgia|Harding|P.O. Box 828, 5019 Turpis. Avenue|Mequon|YT|U2X 9P1|Bosnia and Herzegovina
3|Amena|Taylor|5409 Dui. Street|Cape Girardeau|AB|P1T 9M1|Tanzania, United Republic of
4|Meghan|Waters|7049 Urna. St.|Grand Junction|PE|R4K 7M2|Iran, Islamic Republic of
5|Nadine|Cleveland|527-2556 Ullamcorper Av.|Spokane|NU|A2R 7C0|Tokelau
6|Addison|Randolph|Ap #526-3942 Diam Ave|Akron|SK|E6E 4N9|Myanmar
7|Adria|Dean|P.O. Box 330, 5882 Purus. Rd.|Greensboro|YT|Z2L 7K1|Gambia
8|Sonia|Madden|Ap #818-9144 Dis Ave|Forest Lake|YT|Y8W 2I4|Honduras
9|Leilani|York|260-5043 Lacinia. Rd.|International Falls|ON|U5R 4W4|Azerbaijan
10|Mohammad|Garcia|Ap #278-5802 Iaculis Rd.|La Palma|AB|L2J 5W8|Portugal
11|April|Hayden|Ap #941-4725 Odio Ave|Coatesville|NU|A8T 4G3|United Kingdom
12|Imogene|Weber|Ap #277-9341 Neque Rd.|Sierra Vista|NU|M1U 8G4|Lithuania
13|Cassady|Vazquez|Ap #775-7962 Velit. Ave|Narragansett|NS|W1G 8M7|Madagascar
14|Minerva|Norman|P.O. Box 165, 7335 Nullam Street|Chula Vista|SK|H2O 3U3|Venezuela
15|Kirk|Cantrell|463-9151 Ut St.|Greensburg|ON|K3N 1P7|Cambodia
16|Nadine|Kelley|P.O. Box 747, 8458 Ipsum. Rd.|Dalton|NB|Q1O 7P6|Austria
17|Adena|Lester|319-1011 Eleifend. Ave|Manchester|PE|N3V 1Q3|Bhutan
18|Gretchen|Crosby|401-2999 Eget, Rd.|Gardena|SK|N2Y 1N6|Georgia
19|Rana|Peck|9934 Ac Rd.|Augusta|MB|W2D 3K4|Tokelau
20|Myra|Rutledge|Ap #327-9444 Nec, St.|Dover|NL|X5Q 7F4|Czech Republic
21|Brandon|Hyde|395-2141 Egestas. Road|Lakeland|NS|Y3O 7N5|Korea, Republic of
22|Quincy|Larson|100-736 Ac St.|Vail|ON|C9G 5H5|Suriname
23|Lillith|Rowland|P.O. Box 277, 421 Donec St.|Missoula|PE|I3W 8Z0|Estonia
24|Xander|Benton|3358 Felis. Rd.|Palmdale|QC|C2B 7Z3|Saudi Arabia
25|Colt|Mccray|640-8748 A Av.|Perth Amboy|SK|V7V 8U0|Guyana
